id,name
alarm_issue_reported_issues,Alarm Issu 
annunciator_sensor_reported_issues_reported_issues,Annunciator Sensor
audio_video_call_reported_issues,Audio / Video Call
audio_cutting_out_reported_issues,Audio cutting out
audio_has_static_reported_issues,Audio Has Static
audio_is_low_reported_issues,Audio is Low
blowers_keep_cycling_reported_issues,Blowers Keep Cycling
call_button_not_work_reported_issues,Call Button Not Work
call_cancelled_reported_issues,Call Cancelled
carrier_hangs_up_reported_issues,Carrier Hangs Up
carrier_not_recall_reported_issues,Carrier Not Recall
carrier_not_sending_reported_issues,Carrier Not Sending
carrier_order_reported_issues,Carrier Order
carrier_travels_slow_reported_issues,Carrier Travels Slow
combo_change_request_reported_issues,Combo Change Request
door_not_closing_reported_issues,Door Not Closing
door_not_opening_reported_issues,Door Not Opening
dvr_reported_issues,DVR
heater_not_working_reported_issues,Heater not working
installation_job_reported_issues,Installation Job
issue_with_remote_reported_issues,Issue With Remote
moisture_In_tube_reported_issues,Moisture In Tube
monitor_image_is_bad_reported_issues,Monitor Image is Bad
nd_head_pull_reported_issues,ND Head Pull
night_drop_reported_reported_issues,Night Drop
no_audio_reported_issues,No Audio
no_audio_or_video_reported_issues,No Audio or Video
no_overview_image_reported_issues,No Overview Image
no_video_reported_issues,No Video
odor_issue_reported_issues,Odor Issue
part_order_reported_issues,Part Order
prevent_maint_reported_issues,Prevent Maint
promo_video_failed_reported_issues,Promo Video Failed
referred_to_another_vendor_reported_issues,Referred to another vendor
send_button_not_work_reported_issues,Send Button Not Work
stuck_carrier_with_contents_reported_issues,Stuck carrier with contents
stuck_carrier_with_no_contents_reported_issues,Stuck Carrier with no contents
training_turnover_reported_issues,Training & Turnover
undercounter_steel_reported_issues,Undercounter Steel
unit_hit_by_vehicle_reported_issues,Unit Hit By Vehicle
unit_vandalized_reported_issues,Unit Vandalized
vault_safe_reported_issues,Vault - Safe
vault_timelock_issue_reported_issues,Vault Timelock Issue
vault_safe_not_combo_reported_issues,Vault/Safe NOT combo
lock_issue_reported_issues,Lock Issue
key_duplication_reported_issues,Key Duplication
safe_deposit_box_drill_reported_issues,Safe Deposit Box Drill
safe_deposit_rotations_reported_issues,Safe Deposit Rotations
lost_combo_reported_issues,Lost Combo
cash_teller_locker_reported_issues,Cash/Teller Locker
